,Jahr,Marktwert,Mannschaft,Punkte
0,2005,34.43,FC Basel,78
1,2005,16.9,Grasshoppers,55
2,2005,13.88,BSC Young Boys,62
3,2005,11.38,FC Zürich,78
4,2005,11.18,FC Aarau,35
5,2005,8.64,FC Thun,49
6,2005,6.65,FC St. Gallen,40
7,2005,5.42,FC Schaffhausen,33
8,2005,5.39,Neuchâtel Xamax,33
9,2005,2.53,Yverdon-Sport,32
10,2006,24.48,FC Basel,74
11,2006,18.55,Grasshoppers,50
12,2006,18.45,FC Zürich,75
13,2006,17.55,BSC Young Boys,59
14,2006,12.51,FC St. Gallen,55
15,2006,12.13,FC Thun,37
16,2006,9.78,FC Sion,60
17,2006,8.9,FC Luzern,33
18,2006,7.63,FC Aarau,26
19,2006,7.3,FC Schaffhausen,25
20,2007,21.53,FC Basel,74
21,2007,18.58,FC Sion,43
22,2007,17.18,FC Zürich,56
23,2007,14.88,BSC Young Boys,70
24,2007,13.78,FC St. Gallen,34
25,2007,11.5,FC Luzern,44
26,2007,10.28,Grasshoppers,54
27,2007,9.73,Neuchâtel Xamax,41
28,2007,7.98,FC Aarau,47
29,2007,7.3,FC Thun,27
30,2008,24.63,FC Basel,72
31,2008,21.0,Grasshoppers,50
32,2008,20.25,FC Zürich,79
33,2008,19.9,BSC Young Boys,73
34,2008,19.85,FC Sion,37
35,2008,12.08,FC Luzern,35
36,2008,9.63,FC Aarau,44
37,2008,8.3,Neuchâtel Xamax,40
38,2008,5.85,AC Bellinzona,43
39,2008,3.53,FC Vaduz,22
40,2009,32.25,FC Basel,80
41,2009,31.55,FC Zürich,45
42,2009,20.8,BSC Young Boys,77
43,2009,17.05,FC Sion,51
44,2009,15.88,Grasshoppers,65
45,2009,15.65,AC Bellinzona,25
46,2009,14.5,Neuchâtel Xamax,41
47,2009,14.3,FC Luzern,58
48,2009,10.9,FC St. Gallen,46
49,2009,10.33,FC Aarau,23
50,2010,41.2,FC Basel,73
51,2010,26.6,BSC Young Boys,57
52,2010,23.25,FC Zürich,72
53,2010,18.38,FC Sion,54
54,2010,16.45,FC St. Gallen,31
55,2010,14.2,Grasshoppers,41
56,2010,14.05,FC Luzern,48
57,2010,12.35,Neuchâtel Xamax,32
58,2010,8.35,AC Bellinzona,32
59,2010,7.95,FC Thun,49
60,2011,38.95,FC Basel,74
61,2011,31.0,BSC Young Boys,51
62,2011,24.8,FC Zürich,41
63,2011,24.23,Neuchâtel Xamax,0
64,2011,23.95,FC Sion,17
65,2011,13.88,FC Luzern,54
66,2011,13.45,Grasshoppers,26
67,2011,9.25,Lausanne-Sport,30
68,2011,8.3,FC Thun,43
69,2011,8.18,Servette FC,48
70,2012,39.25,FC Basel,72
71,2012,32.35,BSC Young Boys,43
72,2012,29.6,FC Sion,48
73,2012,18.2,FC Luzern,42
74,2012,17.75,FC Zürich,55
75,2012,14.15,Grasshoppers,69
76,2012,11.4,Servette FC,26
77,2012,10.35,FC St. Gallen,59
78,2012,9.03,FC Thun,48
79,2012,8.5,Lausanne-Sport,33
80,2013,67.83,FC Basel,72
81,2013,23.95,BSC Young Boys,59
82,2013,20.98,FC Sion,43
83,2013,20.65,Grasshoppers,65
84,2013,18.88,FC Zürich,50
85,2013,14.3,FC Luzern,51
86,2013,13.53,Lausanne-Sport,24
87,2013,13.48,FC St. Gallen,45
88,2013,11.4,FC Aarau,42
89,2013,10.43,FC Thun,48
90,2014,44.4,FC Basel,78
91,2014,22.63,BSC Young Boys,66
92,2014,22.55,FC Sion,45
93,2014,20.5,Grasshoppers,43
94,2014,19.03,FC Luzern,47
95,2014,17.3,FC Zürich,53
96,2014,13.85,FC St. Gallen,47
97,2014,12.73,FC Aarau,30
98,2014,12.0,FC Thun,52
99,2014,8.03,FC Vaduz,31
100,2015,57.9,FC Basel,83
101,2015,40.1,BSC Young Boys,69
102,2015,32.6,FC Sion,50
103,2015,28.38,FC Zürich,34
104,2015,25.0,Grasshoppers,53
105,2015,21.83,FC St. Gallen,38
106,2015,21.4,FC Luzern,54
107,2015,14.43,FC Vaduz,36
108,2015,12.2,FC Thun,41
109,2015,9.93,FC Lugano,35
110,2016,67.7,FC Basel,86
111,2016,40.85,BSC Young Boys,69
112,2016,37.88,FC Sion,51
113,2016,27.93,Grasshoppers,38
114,2016,21.95,FC St. Gallen,41
115,2016,14.78,FC Luzern,50
116,2016,14.1,FC Lugano,53
117,2016,11.45,FC Thun,45
118,2016,10.83,Lausanne-Sport,35
119,2016,10.28,FC Vaduz,30
120,2017,59.93,FC Basel,69
121,2017,36.35,FC Sion,42
122,2017,25.45,BSC Young Boys,84
123,2017,23.2,Grasshoppers,39
124,2017,20.63,FC St. Gallen,45
125,2017,19.1,Lausanne-Sport,35
126,2017,15.73,FC Luzern,54
127,2017,15.6,FC Lugano,42
128,2017,15.05,FC Zürich,49
129,2017,12.93,FC Thun,42
